"price","dist1","dist2","dist3","rooms","square","floor","type1","type2","type3"
"38 300 грн","ЖК Корона Печерська","Печерськ","Печерський","4 кімнати","210.5 / 100 / 14 м²","поверх 16 з 27","спец. проект","монолітно-каркасний","2005"
"50 500 грн","ЖК Покровський посад","Кудрявець","Шевченківський","4 кімнати","130 / 90 / 30 м²","поверх 12 з 22","спец. проект","монолітно-каркасний","2014"
"45 000 грн","ЖК Придніпровський","Лівобережний масив","Дніпровський","4 кімнати","145 / 100 / 18 м²","поверх 14 з 22","спец. проект","монолітно-каркасний","2006"
"153 162 грн","ЖК вул. Богдана Хмельницького, 80-82","Історичний центр","Шевченківський","4 кімнати","300 / 150 / 70 м²","поверх 8 з 9","спец. проект","монолітно-каркасний","2002"
"44 045 грн","ЖК Оазис","Оболонь","Оболонський","4 кімнати","124 / 60 / 12 м²","поверх 2 з 9","спец. проект","монолітно-каркасний","2005"
"114 900 грн","ЖК Творець","Нижній Печерськ","Печерський","5 кімнат","270 / 125 / 35 м²","поверх 6 з 25","спец. проект","монолітно-каркасний","2004"
"76 600 грн","Нова забудова","Голосіївський","Київ","6 кімнат","270 / 160 / 50 м²","поверх 6 з 8","дореволюційний","цегляний будинок","1911"
"134 050 грн","ЖК Новопечерські Липки","Чорна Гора","Печерський","4 кімнати","125 / 69 / 24 м²","поверх 12 з 30","спец. проект","монолітно-каркасний","2015"
"111 070 грн","Липки","Печерський","Київ","4 кімнати","200 / 130 / 50 м²","поверх 15 з 18","спец. проект","монолітно-каркасний","2000"
"88 090 грн","ЖК вул. Тургенєвська, 42-44","Солдатська слобідка","Шевченківський","4 кімнати","174 / 98 / 17 м²","поверх 18 з 19","спец. проект","монолітно-каркасний","2010"
"53 620 грн","Нова забудова","Печерський","Київ","4 кімнати","147 / 86 / 12 м²","поверх 4 з 7","сталінка","цегляний будинок","1955"
"153 200 грн","Історичний центр","Шевченківський","Київ","5 кімнат","285 / 140 / 20 м²","поверх 6 з 7","дореволюційний","цегляний будинок","1913"
"210 650 грн","ЖК Новопечерські Липки","Чорна Гора","Печерський","5 кімнат","190 / 120 / 30 м²","поверх 13 з 15","спец. проект","монолітно-каркасний","2020"
"57 450 грн","ЖК Никольский град","Лівобережний масив","Дніпровський","5 кімнат","212 / 100 / 50 м²","поверх 17 з 25","спец. проект","монолітно-каркасний","2009"
"38 300 грн","Чорна Гора","Печерський","Київ","4 кімнати","170 / 89 / 12 м²","поверх 4 з 18","спец. проект","монолітно-каркасний","2001"
"76 600 грн","ЖК вул. Євгена Коновальця (Щорса), 36в","Нижній Печерськ","Печерський","5 кімнат","200 / 150 / 30 м²","поверх 18 з 26","спец. проект","монолітно-каркасний","2011"
"36 385 грн","Історичний центр","Шевченківський","Київ","4 кімнати","90 / 48 / 15 м²","поверх 9 з 13","спец. проект","цегляний будинок","1982"
"76 600 грн","Черепанова гора","Печерський","Київ","4 кімнати","200 / 100 / 15 м²","поверх 14 з 14","спец. проект","монолітно-каркасний","2005"
"37 000 грн","Позняки","Дарницький","Київ","4 кімнати","250 / 100 / 20 м²","поверх 22 з 23","спец. проект","монолітно-каркасний","2004"
"61 280 грн","Нова забудова","Голосіївський","Київ","4 кімнати","170 / 90 / 20 м²","поверх 5 з 6","дореволюційний","цегляний будинок","1911"
"57 450 грн","Нова забудова","Голосіївський","Київ","4 кімнати","180 / 100 / 20 м²","поверх 5 з 10","спец. проект","цегляний будинок",""
"114 900 грн","Старий Київ","Шевченківський","Київ","6 кімнат","350 / 200 / 30 м²","поверх 7 з 8","спец. проект","цегляний будинок","2003"
"229 800 грн","Оболонь","Оболонський","Київ","5 кімнат","367 / 200 / 10 м²","поверх 5 з 6","спец. проект","монолітно-каркасний","2001"
"61 280 грн","ЖК Дипломат-холл","Нова забудова","Голосіївський","4 кімнати","165 / 90 / 30 м²","поверх 3 з 17","спец. проект","монолітно-каркасний","2006"
"76 600 грн","Історичний центр","Шевченківський","Київ","4 кімнати","180 / 90 / 20 м²","поверх 10 з 11","совмін","цегляний будинок","1975"
"76 600 грн","Нова забудова","Голосіївський","Київ","4 кімнати","256 / 72 / 100 м²","поверх 3 з 7","спец. проект","цегляний будинок","2005"
"49 790 грн","Липки","Печерський","Київ","4 кімнати","220 / 120 / 20 м²","поверх 3 з 5","сталінка","цегляний будинок","1960"
"45 960 грн","Липки","Печерський","Київ","4 кімнати","160 / 75 / 25 м²","поверх 3 з 6","","",""
"229 800 грн","ЖК вул. Лейпцизька, 13","Печерськ","Печерський","5 кімнат","193 / 106 / 14 м²","поверх 16 з 17","спец. проект","монолітно-каркасний","2019"
"191 500 грн","ЖК Бульвар Фонтанів","Нижній Печерськ","Печерський","5 кімнат","186 / 100 / 45 м²","поверх 4 з 14","спец. проект","монолітно-каркасний","2019"
"38 300 грн","ЖК вул. Дмитрівська, 13, 13а","Солдатська слобідка","Шевченківський","4 кімнати","150 / 50 / 15 м²","поверх 17 з 18","спец. проект","монолітно-каркасний","2001"
"38 300 грн","ЖК вул. Єлизавети Чавдар, 1","Осокорки","Дарницький","4 кімнати","160 / 140 / 20 м²","поверх 23 з 25","спец. проект","монолітно-каркасний","2011"
"25 000 грн","Липки","Печерський","Київ","4 кімнати","150 / 80 / 20 м²","поверх 1 з 6","сталінка","цегляний будинок","1937"
"114 900 грн","ЖК Дипломат-холл","Нова забудова","Голосіївський","4 кімнати","300 / 120 / 70 м²","поверх 11 з 22","спец. проект","монолітно-каркасний","2006"
"268 100 грн","ЖК вул. Тургенєвська, 46/11","Солдатська слобідка","Шевченківський","4 кімнати","180 / 80 / 20 м²","поверх 3 з 7","спец. проект","цегляний будинок","2012"
"134 050 грн","ЖК Липська вежа","Липки","Печерський","4 кімнати","144.9 / 132 / 11.7 м²","поверх 3 з 24","спец. проект","монолітно-каркасний","2009"
"38 000 грн","Кадетський Гай","Солом'янський","Київ","4 кімнати","155 / 75 / 28 м²","поверх 14 з 15","спец. проект","монолітно-каркасний","2008"
"28 000 грн","Соцмісто","Дніпровський","Київ","4 кімнати","116 / 68 / 13 м²","поверх 11 з 22","спец. проект","монолітно-каркасний","2010"
"76 600 грн","ЖК Elyseum","Шулявка","Шевченківський","4 кімнати","146 / 100 / 25 м²","поверх 25 з 26","спец. проект","монолітно-каркасний","2017"
"45 960 грн","Кудрявець","Шевченківський","Київ","4 кімнати","158 / 90 / 20 м²","поверх 17 з 25","спец. проект","монолітно-каркасний","2008"
"45 960 грн","ЖК вул. Ковпака, 17","Нова забудова","Печерський","5 кімнат","140 / 67 / 35 м²","поверх 3 з 18","спец. проект","монолітно-каркасний","2001"
"111 070 грн","Історичний центр","Шевченківський","Київ","4 кімнати","260 / 190 / 36 м²","поверх 8 з 16","спец. проект","монолітно-каркасний","2005"
"29 000 грн","Оболонь","Оболонський","Київ","4 кімнати","217 / 100 / 35 м²","поверх 15 з 16","цегляний будинок","",""
"95 750 грн","Липки","Печерський","Київ","5 кімнат","350 / 123 / 50 м²","поверх 2 з 5","сталінка","цегляний будинок","1928"
"107 240 грн","ЖК Crystal Park","Шулявка","Шевченківський","4 кімнати","165 / 90 / 10 м²","поверх 8 з 9","спец. проект","монолітно-каркасний","2013"
"45 960 грн","Солдатська слобідка","Шевченківський","Київ","4 кімнати","180 / 98 / 23 м²","поверх 3 з 9","спец. проект","монолітно-каркасний","2005"
"99 580 грн","ЖК вул. Круглоуніверситетська, 3-5","Липки","Печерський","5 кімнат","225 / 113 / 12 м²","поверх 12 з 13","спец. проект","монолітно-каркасний","2008"
"95 750 грн","Історичний центр","Шевченківський","Київ","4 кімнати","204 / 70 / 66 м²","поверх 3 з 16","спец. проект","монолітно-каркасний","2005"
"57 450 грн","ЖК Покровський посад","Кудрявець","Шевченківський","5 кімнат","200 / 100 / 20 м²","поверх 22 з 23","спец. проект","монолітно-каркасний","2014"
"57 450 грн","ЖК вул. Анрі Барбюса, 16","Нова забудова","Печерський","4 кімнати","145 / 98 / 20 м²","поверх 15 з 18","спец. проект","монолітно-каркасний","2006"
"30 000 грн","ЖК вул. Павловська, 26/41","Солдатська слобідка","Шевченківський","4 кімнати","132 / 77 / 17 м²","поверх 6 з 23","спец. проект","монолітно-каркасний","2003"
