"price","dist1","dist2","dist3","rooms","square","floor","type1","type2","type3"
"8 000 грн","Русанівка","Дніпровський","Київ","1 кімната","41 / 25 / 10 м²","поверх 11 з 16","спец. проект","цегляний будинок","1970"
"22 980 грн","Осокорки","Дарницький","Київ","3 кімнати","81 / 42 / 8 м²","поверх 9 з 13","АППС","утеплена панель","1997"
"44 045 грн","ЖК Royal Tower","Нова забудова","Голосіївський","2 кімнати","66 / 39 / 19 м²","поверх 11 з 32","спец. проект","монолітно-каркасний","2016"
"12 000 грн","ЖК Воздвиженка","Поділ","Подільський","1 кімната","22 / 15 / 4 м²","поверх 8 з 8","спец. проект","цегляний будинок","2009"
"10 000 грн","Осокорки","Дарницький","Київ","2 кімнати","55 / 30 / 8 м²","поверх 13 з 16","серія Т","утеплена панель","1995"
"17 000 грн","ЖК вул. Вірменська, 6а","Харьківський","Дарницький","2 кімнати","70 / 60 / 10 м²","поверх 23 з 26","спец. проект","монолітно-каркасний","2016"
"13 500 грн","Осокорки","Дарницький","Київ","1 кімната","55 / 23 / 12 м²","поверх 6 з 25","спец. проект","монолітно-каркасний",""
"30 640 грн","ЖК Тридцять восьма перлина","Нова забудова","Голосіївський","2 кімнати","45 / 30 / 10 м²","поверх 15 з 22","спец. проект","монолітно-каркасний","2019"
"13 000 грн","Чорна Гора","Печерський","Київ","2 кімнати","45 / 26 / 12 м²","поверх 2 з 5","хрущівка","цегляний будинок","1961"
"25 000 грн","ЖК бул. Лесі Українки, 7б","Печерськ","Печерський","3 кімнати","80 / 40 / 20 м²","поверх 9 з 23","спец. проект","монолітно-каркасний","2010"
"12 000 грн","ЖМ Патріотика","Осокорки","Дарницький","1 кімната","38 / 18 / 8 м²","поверх 7 з 25","спец. проект","панельні","2016"
"22 000 грн","Академмістечко","Святошинський","Київ","2 кімнати","47 / 25 / 11 м²","поверх 5 з 6","","",""
"25 000 грн","Татарка","Шевченківський","Київ","3 кімнати","72 / 55 / 6 м²","поверх 8 з 9","цегляний будинок","1977",""
"107 240 грн","ЖК Липська вежа","Липки","Печерський","4 кімнати","205 / 120 / 50 м²","поверх 5 з 25","спец. проект","монолітно-каркасний","2009"
"57 450 грн","ЖК Skyline","Нижній Печерськ","Печерський","2 кімнати","70 / 40 / 30 м²","поверх 5 з 26","спец. проект","монолітно-каркасний","2015"
"8 000 грн","Теремки-1","Голосіївський","Київ","1 кімната","36 / 18 / 9 м²","поверх 7 з 21","серія КТ","утеплена панель","1989"
"16 000 грн","Позняки","Дарницький","Київ","2 кімнати","55 / - / 9 м²","поверх 5 з 16","панельні","",""
"27 000 грн","ЖК Голосіїво","Деміївка","Голосіївський","3 кімнати","110 / - / 38 м²","поверх 9 з 25","спец. проект","монолітно-каркасний","2008"
