price,dist1,dist2,dist3,rooms,square,floor,type1,type2,type3,metro
26 810 грн,Печерськ,Печерський,Київ,3 кімнати,70 / 50 / 10 м²,поверх 4 з 5,сталінка,цегляний будинок,22 січня,0
88 090 грн,Старий Київ,Шевченківський,Київ,4 кімнати,160 / 120 / 40 м²,поверх 3 з 7,дореволюційний,цегляний будинок,16 січня,0
30 640 грн,Солдатська слобідка,Шевченківський,Київ,3 кімнати,75 / 50 / 10 м²,поверх 4 з 5,сталінка,цегляний будинок,20 січня,0
191 500 грн,ЖК Park Avenue VIP,Деміївка,Голосіївський,3 кімнати,163 / 90 / 30 м²,поверх 13 з 23,спец. проект,монолітно-каркасний,18 січня,0
76 600 грн,ЖК Французький квартал 2,Нова забудова,Печерський,3 кімнати,82 / 60 / 10 м²,поверх 4 з 9,спец. проект,монолітно-каркасний,20 січня,0
95 750 грн,ЖК Chicago Central House,Нова забудова,Голосіївський,3 кімнати,113 / 60 / 40 м²,поверх 12 з 24,спец. проект,монолітно-каркасний,16 січня,0
38 300 грн,"ЖК вул. Дмитрівська, 80, 82",Солдатська слобідка,Шевченківський,3 кімнати,140 / 90 / 23 м²,поверх 9 з 20,спец. проект,монолітно-каркасний,18 січня,0
114 900 грн,ЖК Park Avenue VIP,Деміївка,Голосіївський,3 кімнати,120 / 80 / 10 м²,поверх 7 з 21,спец. проект,монолітно-каркасний,23 січня,0
49 790 грн,"ЖК вул. Дмитрівська, 66а",Солдатська слобідка,Шевченківський,3 кімнати,120 / 60 / 26 м²,поверх 12 з 15,спец. проект,монолітно-каркасний,18 січня,0
95 750 грн,Нова забудова,Голосіївський,Київ,3 кімнати,117 / 85 / 25 м²,поверх 5 з 6,дореволюційний,цегляний будинок,19 січня,0
38 000 грн,Воздвиженка,Поділ,Подільський,3 кімнати,100 / 70 / 30 м²,поверх 4 з 4,спец. проект,цегляний будинок,19 січня,0
33 000 грн,ЖК Комфорт Таун,Соцмісто,Дніпровський,3 кімнати,90 / 60 / 10 м²,поверх 5 з 9,,,22 січня,0
21 000 грн,ЖК Амурський,Голосіїво,Голосіївський,3 кімнати,82 / 45 / 14 м²,поверх 19 з 25,спец. проект,панельні,вчора о 10:34,0
13 000 грн,Троєщина,Деснянський,Київ,3 кімнати,75 / 50 / 15 м²,поверх 14 з 16,серія Т,утеплена панель,сьогодні о 12:01,0
30 000 грн,Оболонь,Оболонський,Київ,5 кімнат,220 / 110 / 25 м²,поверх 15 з 16,цегляний будинок,,сьогодні о 11:45,0
21 000 грн,Ґалаґани,Святошинський,Київ,3 кімнати,86 / 50 / 14 м²,поверх 3 з 5,сталінка,цегляний будинок,сьогодні о 09:17,0
38 300 грн,Солдатська слобідка,Шевченківський,Київ,3 кімнати,100 / 60 / 22 м²,поверх 2 з 9,цегляний будинок,,23 січня,0
14 000 грн,Відрадний,Солом'янський,Київ,3 кімнати,60 / 45 / 8 м²,поверх 4 з 5,хрущівка,панельні,сьогодні о 10:19,0
38 300 грн,ЖК Дипломат-холл,Нова забудова,Голосіївський,4 кімнати,160 / 60 / 15 м²,поверх 12 з 17,спец. проект,монолітно-каркасний,22 січня,0
36 385 грн,Поділ,Подільський,Київ,3 кімнати,88 / 54 / 15 м²,поверх 3 з 5,сталінка,цегляний будинок,21 січня,0
65 110 грн,Оболонь,Оболонський,Київ,5 кімнат,270 / 170 / 20 м²,поверх 9 з 11,спец. проект,монолітно-каркасний,18 січня,0
34 470 грн,Історичний центр,Шевченківський,Київ,3 кімнати,96 / 50 / 15 м²,поверх 6 з 9,спец. проект,цегляний будинок,вчора о 15:40,0
766 000 грн,"ЖК вул. Ковпака, 17",Нова забудова,Печерський,6 кімнат,555 / 370 / 32 м²,поверх 18 з 20,спец. проект,монолітно-каркасний,8 січня,0
76 600 грн,Старий Київ,Шевченківський,Київ,3 кімнати,99 / 67 / 18 м²,поверх 2 з 4,дореволюційний,цегляний будинок,20 січня,0
18 500 грн,Нова забудова,Голосіївський,Київ,3 кімнати,75 / 35 / 20 м²,поверх 10 з 16,спец. проект,цегляний будинок,сьогодні о 10:04,0
38 300 грн,Липки,Печерський,Київ,3 кімнати,152 / 50 / 35 м²,поверх 7 з 11,сталінка,цегляний будинок,сьогодні о 10:31,0
18 000 грн,Оболонь,Оболонський,Київ,3 кімнати,70 / 40 / 10 м²,поверх 9 з 16,БПС,утеплена панель,сьогодні о 09:36,0
33 000 грн,ЖК Парус,Лук'янівка,Шевченківський,3 кімнати,124 / 1 / 1 м²,поверх 14 з 25,спец. проект,монолітно-каркасний,16 січня,0
61 280 грн,ЖК Park Avenue VIP,Деміївка,Голосіївський,3 кімнати,100 / 60 / 20 м²,поверх 12 з 23,спец. проект,монолітно-каркасний,22 січня,0
22 000 грн,Березняки,Дніпровський,Київ,3 кімнати,83 / 60 / 10 м²,поверх 14 з 18,спец. проект,монолітно-каркасний,16 січня,0
22 900 грн,ЖК Гранд,Оболонь,Оболонський,3 кімнати,102 / 70 / 16 м²,поверх 18 з 25,спец. проект,цегляний будинок,сьогодні о 15:40,0
114 900 грн,Історичний центр,Шевченківський,Київ,4 кімнати,240 / 136 / 35 м²,поверх 3 з 6,дореволюційний,цегляний будинок,вчора о 14:34,0
57 450 грн,ЖК Хвиля,Печерськ,Печерський,4 кімнати,200 / 120 / 15 м²,поверх 11 з 16,спец. проект,монолітно-каркасний,19 січня,0
126 390 грн,ЖК Французький квартал,Нижній Печерськ,Печерський,4 кімнати,172 / 84 / 20 м²,поверх 24 з 25,спец. проект,монолітно-каркасний,17 січня,0
67 025 грн,Нова забудова,Печерський,Київ,4 кімнати,162 / 155 / 7 м²,поверх 7 з 11,дореволюційний,цегляний будинок,сьогодні о 13:54,0
12 000 грн,Теремки-2,Голосіївський,Київ,3 кімнати,70 / 42 / 8 м²,поверх 2 з 9,серія 96,утеплена панель,17 січня,0
45 960 грн,Старий Київ,Шевченківський,Київ,3 кімнати,173 / 110 / 18 м²,поверх 3 з 10,спец. проект,цегляний будинок,сьогодні о 12:46,0
53 620 грн,"ЖК вул. Тургенєвська, 46/11",Солдатська слобідка,Шевченківський,3 кімнати,130 / 65 / 16 м²,поверх 4 з 15,спец. проект,цегляний будинок,19 січня,0
84 260 грн,Історичний центр,Шевченківський,Київ,5 кімнат,215 / 120 / 20 м²,поверх 4 з 5,дореволюційний,цегляний будинок,22 січня,0
26 000 грн,мкрн Позняки-4а,Позняки,Дарницький,3 кімнати,91 / 65 / 17 м²,поверх 13 з 25,спец. проект,монолітно-каркасний,сьогодні о 09:51,0
38 300 грн,Солдатська слобідка,Шевченківський,Київ,3 кімнати,150 / 90 / 20 м²,поверх 3 з 8,спец. проект,монолітно-каркасний,17 січня,0
49 790 грн,ЖК Park Avenue VIP,Деміївка,Голосіївський,3 кімнати,126 / 85 / 15 м²,поверх 11 з 20,спец. проект,монолітно-каркасний,17 січня,0
157 030 грн,Нова забудова,Голосіївський,Київ,4 кімнати,170 / 70 / 20 м²,поверх 2 з 7,дореволюційний,цегляний будинок,вчора о 12:57,0
19 150 грн,Позняки,Дарницький,Київ,3 кімнати,95 / 50 / 15 м²,поверх 6 з 16,спец. проект,цегляний будинок,сьогодні о 04:20,0
14 500 грн,Позняки,Дарницький,Київ,3 кімнати,73 / 40 / 10 м²,поверх 11 з 16,спец. проект,монолітно-каркасний,сьогодні о 19:09,0
26 810 грн,Нова забудова,Печерський,Київ,3 кімнати,80 / 40 / 9 м²,поверх 2 з 7,,,19 січня,0
38 000 грн,"ЖК просп. Валерія Лобановського, 4ж",Олександрівська Слобідка,Солом'янський,4 кімнати,122 / 103 / 19 м²,поверх 15 з 16,спец. проект,монолітно-каркасний,12 січня,0
35 000 грн,Старий Київ,Шевченківський,Київ,3 кімнати,120 / 60 / 35 м²,поверх 2 з 4,дореволюційний,цегляний будинок,29 грудня 2023 р.,0
24 900 грн,Нова забудова,Голосіївський,Київ,3 кімнати,80 / 50 / 9 м²,поверх 3 з 9,спец. проект,цегляний будинок,сьогодні о 11:14,0
