price,district,rooms,floor,metro,total_area,kitchen_area,floor_total
38300,Оболонський,2,6.0,1,65.0,15.0,27.0
14000,Шевченківський,1,4.0,1,25.0,5.0,4.0
23500,Голосіївський,1,6.0,1,49.0,15.0,24.0
20000,Шевченківський,3,3.0,1,65.0,9.0,5.0
11000,Шевченківський,1,1.0,1,32.0,6.0,5.0
26810,Солом'янський,3,9.0,1,70.0,25.0,24.0
18500,Печерський,1,5.0,1,38.0,10.0,9.0
12000,Дніпровський,3,3.0,1,60.0,7.0,9.0
40000,Печерський,2,11.0,1,60.0,10.0,25.0
191462,Шевченківський,4,9.0,1,205.0,25.0,12.0
45000,Шевченківський,4,4.0,1,130.0,20.0,9.0
8500,Дніпровський,2,4.0,1,46.0,7.0,5.0
34470,Шевченківський,2,3.0,1,60.0,9.0,5.0
30000,Печерський,2,17.0,1,83.0,10.0,25.0
12500,Голосіївський,2,3.0,1,40.0,6.0,5.0
30640,Шевченківський,3,11.0,1,104.0,14.0,25.0
30640,Шевченківський,2,4.0,1,70.0,30.0,5.0
34500,Подільський,2,6.0,1,120.0,23.0,6.0
45960,Подільський,3,6.0,1,110.0,25.0,8.0
15000,Шевченківський,1,6.0,1,35.0,10.0,32.0
20000,Печерський,1,15.0,1,45.0,11.0,25.0
20000,Святошинський,3,25.0,1,70.0,15.0,25.0
29900,Шевченківський,1,4.0,1,50.0,12.0,9.0
18990,Дарницький,1,16.0,1,42.0,22.0,25.0
30000,Голосіївський,2,19.0,1,56.0,9.0,25.0
13000,Оболонський,1,7.0,1,40.0,8.0,9.0
8000,Шевченківський,1,1.0,1,27.0,6.0,6.0
22500,Шевченківський,3,10.0,1,69.6,9.4,10.0
15000,Шевченківський,2,4.0,1,56.0,8.0,9.0
15000,Шевченківський,3,4.0,1,58.0,6.0,6.0
21500,Солом'янський,3,17.0,1,106.0,22.0,25.0
15000,Голосіївський,2,4.0,1,68.0,6.0,4.0
20000,Дарницький,3,7.0,1,100.0,16.0,24.0
20500,Дарницький,1,17.0,1,43.0,15.0,25.0
19000,Дніпровський,2,22.0,1,44.0,17.0,25.0
15000,Дарницький,1,2.0,1,40.0,13.0,12.0
20000,Шевченківський,3,5.0,1,88.0,8.0,5.0
7000,Святошинський,1,5.0,1,32.0,7.0,9.0
38300,Дарницький,2,22.0,1,100.0,,25.0
25000,Дарницький,1,22.0,1,46.0,11.0,23.0
68940,Печерський,2,7.0,1,65.0,,12.0
14000,Дніпровський,3,6.0,1,68.0,9.0,9.0
57450,Шевченківський,4,3.0,1,128.0,10.0,
25000,Шевченківський,3,4.0,1,110.2,15.8,10.0
14000,Голосіївський,2,10.0,1,56.0,10.0,14.0
20000,Дарницький,2,8.0,1,70.0,17.0,21.0
57450,Печерський,2,10.0,1,77.0,28.0,26.0
10000,Оболонський,1,1.0,1,36.0,8.0,9.0
13000,Оболонський,1,7.0,1,41.0,10.0,9.0
15000,Дарницький,2,1.0,1,48.2,20.0,9.0
47875,Голосіївський,2,18.0,1,50.0,20.0,25.0
6900,Дніпровський,1,13.0,1,35.0,9.0,16.0
103410,Печерський,5,14.0,1,205.0,30.0,19.0
268100,Печерський,4,44.0,1,400.0,50.0,45.0
76600,Шевченківський,3,5.0,1,160.0,40.0,5.0
32555,Печерський,1,5.0,1,47.0,20.0,26.0
95750,Печерський,3,12.0,1,80.0,20.0,19.0
7990,Дарницький,1,15.0,1,39.0,9.0,24.0
11298500,Печерський,3,16.0,1,109.0,13.0,18.0
72770,Печерський,3,8.0,1,90.0,37.0,24.0
28000,Шевченківський,3,1.0,1,65.0,5.0,5.0
57450,Печерський,2,2.0,1,90.0,20.0,19.0
22980,Шевченківський,2,2.0,1,64.0,11.0,7.0
18000,Шевченківський,2,16.0,1,59.0,15.0,21.0
16000,Дарницький,3,4.0,1,110.0,12.0,16.0
20000,Дарницький,2,2.0,1,57.0,8.0,11.0
15320,Оболонський,2,1.0,1,58.0,13.0,9.0
18000,Печерський,1,20.0,1,40.0,26.0,26.0
20000,Голосіївський,2,5.0,1,90.0,20.0,25.0
10000,Шевченківський,2,5.0,1,56.0,6.0,16.0
8000,Святошинський,1,8.0,1,32.2,9.0,10.0
12000,Дарницький,2,7.0,1,79.0,10.0,16.0
12000,Солом'янський,1,9.0,1,35.0,9.0,9.0
12000,Голосіївський,2,1.0,1,45.0,7.0,11.0
8999,Солом'янський,1,8.0,1,26.0,6.0,9.0
15000,Печерський,2,5.0,1,60.0,13.0,7.0
49790,Печерський,3,12.0,1,97.0,11.0,24.0
95750,Печерський,4,6.0,1,206.0,60.0,9.0
45960,Шевченківський,2,3.0,1,45.0,19.0,19.0
13990,Шевченківський,2,2.0,1,64.0,18.0,5.0
10000,Дарницький,2,13.0,1,56.0,9.0,16.0
17990,Дарницький,2,5.0,1,71.0,10.0,17.0
14000,Голосіївський,2,5.0,1,51.0,8.0,9.0
10000,Голосіївський,2,2.0,1,45.0,7.0,5.0
34470,Печерський,1,9.0,1,55.0,20.0,25.0
14500,Голосіївський,1,4.0,1,35.0,7.0,5.0
14500,Оболонський,2,6.0,1,48.0,6.5,9.0
114900,Печерський,4,20.0,1,185.0,35.0,30.0
45960,Печерський,2,4.0,1,76.0,25.0,6.0
20000,Шевченківський,2,3.0,1,73.0,20.0,12.0
21000,Шевченківський,2,3.0,1,85.0,12.0,4.0
57450,Печерський,1,2.0,1,90.0,18.0,16.0
25900,Голосіївський,3,15.0,1,110.0,15.0,21.0
49790,Печерський,2,22.0,1,50.0,15.0,24.0
76600,Печерський,3,28.0,1,120.0,20.0,30.0
32000,Печерський,2,6.0,1,45.0,20.0,24.0
49790,Шевченківський,3,21.0,1,100.0,25.0,23.0
53620,Печерський,2,21.0,1,55.0,25.0,24.0
25000,Голосіївський,3,15.0,1,80.0,23.0,20.0
22500,Голосіївський,1,2.0,1,45.0,12.0,4.0
14000,Шевченківський,2,6.0,1,52.0,8.0,9.0
19150,Печерський,1,4.0,1,30.0,7.0,6.0
19150,Голосіївський,1,2.0,1,50.0,12.0,17.0
28725,Дніпровський,1,10.0,1,47.0,25.0,25.0
17000,Дарницький,1,7.0,1,42.0,12.0,17.0
26900,Шевченківський,3,12.0,1,120.0,25.0,13.0
34470,Печерський,2,7.0,1,50.0,18.0,24.0
18000,Печерський,3,4.0,1,60.0,25.0,5.0
26810,Дарницький,3,12.0,1,72.0,15.0,25.0
34470,Печерський,3,15.0,1,135.0,25.0,25.0
13500,Голосіївський,2,12.0,1,50.0,9.0,16.0
20000,Дарницький,1,19.0,1,51.0,21.0,25.0
65110,Печерський,2,10.0,1,68.0,20.0,14.0
34470,Печерський,3,18.0,1,89.0,15.0,18.0
32555,Печерський,1,7.0,1,50.0,18.0,24.0
49790,Печерський,4,9.0,1,110.0,10.0,18.0
76600,Печерський,3,13.0,1,91.0,20.0,29.0
37000,Голосіївський,2,9.0,1,90.0,25.0,10.0
38300,Шевченківський,3,13.0,1,96.0,30.0,21.0
14000,Голосіївський,1,4.0,1,37.0,5.0,9.0
18990,Шевченківський,2,2.0,1,68.0,12.0,12.0
38300,Подільський,5,6.0,1,160.0,25.0,7.0
84260,Печерський,2,16.0,1,74.0,10.0,24.0
26810,Шевченківський,3,3.0,1,76.0,15.0,4.0
76600,Шевченківський,3,2.0,1,75.0,12.0,2.0
26000,Шевченківський,3,13.0,1,105.0,33.0,15.0
76600,Шевченківський,3,8.0,1,135.0,30.0,10.0
19000,Оболонський,3,6.0,1,60.0,6.0,9.0
17000,Оболонський,1,10.0,1,45.0,15.0,25.0
11500,Шевченківський,1,10.0,1,40.0,10.0,16.0
10000,Голосіївський,1,8.0,1,20.0,3.0,9.0
17000,Дарницький,1,18.0,1,45.0,12.0,25.0
15000,Дарницький,2,17.0,1,85.0,15.0,23.0
17500,Печерський,2,2.0,1,55.0,7.0,6.0
12000,Святошинський,1,1.0,1,25.0,5.0,10.0
13500,Дарницький,1,5.0,1,37.0,10.0,24.0
30000,Печерський,2,8.0,1,60.0,8.0,8.0
38300,Печерський,1,9.0,1,50.0,10.0,25.0
19999,Дарницький,1,13.0,1,47.0,13.0,25.0
68940,Шевченківський,1,5.0,1,50.0,7.0,5.0
61280,Печерський,3,15.0,1,116.0,20.0,23.0
103410,Печерський,2,11.0,1,100.0,17.0,18.0
57450,Печерський,3,17.0,1,55.0,10.0,24.0
14000,Дарницький,2,17.0,1,62.0,12.0,17.0
26810,Печерський,1,19.0,1,43.0,15.0,24.0
14000,Оболонський,2,9.0,1,52.0,8.0,9.0
10000,Дарницький,1,7.0,1,43.0,9.0,12.0
16000,Шевченківський,2,3.0,1,55.0,20.0,16.0
38300,Печерський,2,10.0,1,54.0,12.0,26.0
95750,Оболонський,4,9.0,1,250.0,15.0,9.0
26810,Печерський,1,10.0,1,32.0,10.0,26.0
12000,Печерський,1,1.0,1,36.0,6.0,5.0
68940,Подільський,3,2.0,1,90.0,20.0,4.0
72770,Печерський,3,16.0,1,100.0,25.0,21.0
459562,Шевченківський,4,5.0,1,278.0,25.0,5.0
12700,Печерський,1,9.0,1,35.0,6.0,9.0
30000,Солом'янський,3,13.0,1,75.0,10.0,24.0
6500,Оболонський,2,2.0,1,46.0,7.0,9.0
25000,Голосіївський,3,11.0,1,95.0,11.0,25.0
34470,Печерський,1,21.0,1,47.0,14.0,21.0
14000,Шевченківський,2,3.0,1,45.0,19.0,7.0
14000,Святошинський,3,10.0,1,80.0,9.0,15.0
95750,Подільський,4,9.0,1,111.0,20.0,10.0
17990,Святошинський,2,11.0,1,43.0,15.0,27.0
10000,Дніпровський,2,5.0,1,49.0,7.0,9.0
34470,Подільський,3,2.0,1,90.0,15.0,8.0
30000,Печерський,1,23.0,1,60.0,17.0,24.0
30640,Шевченківський,2,1.0,1,40.0,15.0,4.0
15000,Дніпровський,1,22.0,1,30.0,10.0,25.0
22000,Шевченківський,3,8.0,1,75.0,9.0,8.0
13000,Солом'янський,2,6.0,1,50.0,10.0,9.0
15900,Голосіївський,2,9.0,1,53.0,12.0,16.0
7500,Голосіївський,1,6.0,1,38.0,8.0,14.0
61280,Подільський,3,2.0,1,134.0,21.0,4.0
18500,Голосіївський,3,11.0,1,70.0,9.0,14.0
15000,Дарницький,1,7.0,1,38.0,9.0,25.0
8000,Святошинський,2,2.0,1,47.0,7.0,5.0
15000,Печерський,1,2.0,1,41.3,20.2,9.0
35000,Печерський,2,9.0,1,57.0,17.0,22.0
24999,Дніпровський,1,10.0,1,47.0,18.0,25.0
18000,Святошинський,1,6.0,1,40.0,7.0,18.0
9500,Оболонський,1,3.0,1,40.0,13.0,9.0
9500,Святошинський,1,10.0,1,45.0,10.0,18.0
14000,Дарницький,1,20.0,1,24.0,5.0,25.0
42130,Печерський,2,14.0,1,58.0,10.0,16.0
10800,Дарницький,2,7.0,1,58.0,10.0,9.0
7000,Шевченківський,1,5.0,1,32.0,7.0,5.0
14000,Дарницький,1,6.0,1,34.0,8.0,23.0
13000,Печерський,2,6.0,1,60.0,20.0,6.0
12000,Шевченківський,3,3.0,1,61.0,8.0,5.0
20000,Голосіївський,2,6.0,1,50.0,15.0,18.0
14000,Дніпровський,2,5.0,1,65.0,9.0,18.0
